MZ	Intensity	Resolution	S/N
498.27645	327313	220031	1.8	
498.27988	240978	396551	0.8	
498.28528	449378	302469	3.3	
498.29303	305763	289452	1.6	
498.30179	231940	377257	0.7	
498.30474	275380	319679	1.2	
498.30903	420645	229128	2.9	
498.31691	294445	234111	1.5	
498.32348	301086	242769	1.5	
498.32974	345639	359437	2.1	
498.33262	295879	313413	1.5	
498.33820	243256	465502	0.9	
498.34406	332984	240208	1.9	
498.34740	277801	463702	1.3	
498.35197	302841	267159	1.6	
498.35489	378409	265384	2.4	
498.36032	235258	369840	0.8	
498.36692	224043	423625	0.6	
498.37344	314075	293842	1.7	
498.38032	378108	226157	2.4	
498.38524	245212	490696	0.9	
498.39132	306941	295138	1.6	
498.40094	354958	289581	2.2	
498.40751	224415	525600	0.6	
498.41347	265783	252153	1.1	
498.41687	242976	420930	0.9	
498.42364	245840	409406	0.9	
498.42570	324017	227067	1.8	
498.42788	348257	241592	2.1	
498.43098	237117	229572	0.8	
498.44220	262202	271323	1.1	
498.44485	351347	156287	2.1	
498.44957	296723	237704	1.5	
498.45301	310211	280359	1.6	
498.45915	239380	489616	0.8	
498.46813	305173	278518	1.6	
498.48526	379159	304457	2.5	
498.49043	258503	380260	1.0	
498.50676	385417	246101	2.5	
498.51018	412809	215524	2.8	
498.51781	235290	475376	0.8	
498.52032	255962	472997	1.0	
498.52328	354843	317132	2.2	
498.52560	238787	348945	0.8	
498.52875	287963	192921	1.4	
498.53633	270428	288037	1.2	
498.53881	241516	308511	0.8	
498.54427	287197	307861	1.4	
498.54832	225421	405717	0.6	
498.55587	314798	288282	1.7	
498.56953	376575	280665	2.4	
498.57609	327872	284855	1.8	
498.58576	1053601	218811	10.4	
498.58943	310593	364236	1.6	
498.59222	292386	407589	1.4	
498.59453	265426	303821	1.1	
498.59807	284290	350368	1.3	
498.60769	236359	207696	0.8	
498.61952	234773	400046	0.8	
498.62863	242677	453245	0.8	
498.64163	241095	528153	0.8	
498.64368	231927	382630	0.7	
498.64724	236759	337645	0.8	
498.65750	443144	252442	3.2	
498.66086	253737	425144	1.0	
498.66345	233545	594813	0.7	
498.66921	293546	404471	1.4	
498.67250	368090	216445	2.3	
498.69400	263484	305133	1.1	
498.69580	237020	373068	0.8	
498.70056	430589	227353	3.1	
498.70892	315486	301380	1.7	
498.71433	333038	280578	1.9	
498.72005	256655	471008	1.0	
498.72870	300864	277483	1.5	
498.73180	296240	385926	1.5	
498.73916	225633	558938	0.6	
498.74151	250529	374612	0.9	
498.74390	296585	202108	1.5	
498.75541	320163	314642	1.8	
498.77390	354324	344922	2.2	
498.77685	275557	380582	1.2	
498.78269	307221	320922	1.6	
498.79813	245607	235552	0.9	
498.80973	386584	348897	2.5	
498.81232	368984	387746	2.3	
498.81532	435033	263593	3.1	
498.85593	300541	328942	1.5	
498.86051	495981	194668	3.8	
498.86631	319662	176049	1.8	
498.86869	292094	299696	1.4	
498.87245	352415	327922	2.1	
498.87617	231151	269934	0.7	
498.87807	238767	201401	0.8	
498.88061	289631	279754	1.4	
498.88612	356832	279603	2.2	
498.90584	258646	172336	1.0	
498.91168	241563	232880	0.8	
498.92349	240404	415424	0.8	
498.92615	237764	484106	0.8	
498.92963	349588	280722	2.1	
498.93383	251317	379136	1.0	
498.94003	320262	391842	1.8	
498.94393	306118	398109	1.6	
498.94727	451206	285780	3.3	
498.95211	313543	366015	1.7	
498.95472	305495	341707	1.6	
498.95992	229224	491324	0.7	
498.96259	297672	417598	1.5	
498.96735	309544	370310	1.6	
498.97006	251993	382408	1.0	
498.97565	303737	289699	1.6	
498.98011	399434	209545	2.7	
498.98881	284059	247079	1.3	
498.99038	309691	221680	1.6	
498.99318	252715	409909	1.0	
498.99860	530092	253632	4.2	
499.00145	368700	190811	2.3	
499.01869	227794	213813	0.7	
499.02396	358702	273409	2.2	
499.02732	352527	304299	2.1	
499.04342	365640	131760	2.3	
499.04672	357177	157358	2.2	
499.05218	371393	212465	2.4	
499.06128	511250	229912	4.0	
499.06631	299283	271757	1.5	
499.06987	288003	302524	1.4	
499.07720	343892	192557	2.0	
499.08219	266740	369614	1.1	
